timestamp x y z
1413393218.305760 -1.006314 0.009141 -1.436754
1413393218.555760 0.000000 0.000000 0.000000
1413393218.805760 -0.532408 0.388312 -1.441286
1413393219.055760 nan nan nan
1413393219.405761 0.007058 -0.043906 0.005056
1413393219.905761 -0.011275 -0.128038 0.085714
1413393220.105761 0.001753 -0.079125 0.029540
1413393220.355761 0.010125 -0.082631 0.038827
1413393220.605761 0.002050 -0.089763 0.053080
1413393220.855761 -0.005234 -0.080652 0.057314
1413393221.155761 0.011310 -0.050955 0.055804
1413393221.455760 -0.010546 -0.043219 0.018095
1413393221.705760 -0.014587 -0.044512 0.015997
1413393222.005760 -0.010306 -0.044222 -0.007921
1413393222.305760 0.001122 -0.064697 0.030725
1413393222.655761 0.000106 -0.056369 0.019617
1413393222.955760 -0.001066 -0.042787 0.005313
1413393223.255760 -0.006511 -0.043023 0.001090
1413393223.605761 0.004052 -0.041967 -0.003904
1413393223.955760 -0.008115 -0.033629 -0.025064
1413393224.305760 0.005467 -0.030537 -0.009687
1413393224.655761 0.000984 -0.014088 -0.030245
1413393225.005760 0.017323 -0.066793 0.014696
1413393225.355761 0.012697 -0.065810 0.002269
1413393225.755760 0.012240 -0.047874 -0.004510
1413393226.155761 0.010210 -0.051047 -0.015010
1413393226.555760 -0.000986 -0.083135 0.005407
1413393227.155761 -0.004078 -0.092565 -0.018304
1413393227.555760 -0.003331 -0.077705 -0.016135
1413393227.955760 -0.007664 -0.084923 -0.010699
1413393228.405761 -0.006393 -0.087214 -0.012946
1413393228.855761 -0.007325 -0.081688 -0.011379
1413393229.205760 -0.008407 -0.084849 -0.018911
1413393229.655761 -0.007389 -0.088875 -0.019195
1413393230.055760 -0.004540 -0.095557 -0.018445
1413393230.555760 -0.003812 -0.093090 -0.019644
1413393231.055760 -0.004774 -0.094492 -0.010719
1413393231.555760 -0.010790 -0.085330 -0.004774
1413393232.055760 -0.004273 -0.094954 -0.008987
1413393232.505760 -0.002576 -0.096358 -0.002101
1413393232.805760 -0.003753 -0.095416 0.000428
1413393233.105761 -0.002849 -0.093789 0.003833
1413393233.355761 -0.003056 -0.093183 0.003885
1413393233.605761 -0.002930 -0.094898 0.001452
1413393233.805760 -0.003272 -0.092463 0.001376
1413393234.055760 -0.004892 -0.092291 -0.001065
1413393234.305760 -0.005579 -0.093300 0.001871
1413393234.555760 -0.004762 -0.093305 0.002863
1413393234.805760 -0.004392 -0.093549 -0.007316
1413393235.005760 -0.008064 -0.092424 -0.007438
1413393235.255760 -0.009488 -0.092856 -0.001514
1413393235.505760 -0.007948 -0.093087 -0.000090
1413393235.755760 -0.009054 -0.093142 0.000187
1413393235.955760 -0.008632 -0.093626 0.000523
1413393236.105761 -0.009702 -0.093739 0.001300
1413393236.305760 -0.009127 -0.093850 0.000716
1413393236.555760 -0.009486 -0.093987 0.000781
1413393236.805760 -0.008214 -0.094139 0.000602
1413393237.055760 -0.009585 -0.093040 0.001417
1413393237.305760 -0.006985 -0.093374 0.002660
1413393237.555760 -0.008875 -0.093630 0.003569
1413393237.805760 -0.006614 -0.086884 0.005413
1413393238.155761 -0.006343 -0.086147 0.005437
1413393238.405761 0.000806 -0.082725 0.008555
1413393238.705760 -0.000429 -0.084433 0.008771
1413393239.005760 -0.003790 -0.083615 0.009461
1413393239.305760 -0.004621 -0.082964 0.009746
1413393239.605761 -0.001470 -0.085930 0.006159
1413393239.855761 -0.000690 -0.086293 0.005633
1413393240.155761 -0.001454 -0.083122 0.007605
1413393240.505760 -0.001928 -0.082811 0.007757
1413393240.855761 0.003675 -0.083396 0.011711
1413393241.205760 0.003826 -0.083148 0.010928
1413393241.555760 0.001756 -0.082518 0.008154
1413393241.905761 0.002671 -0.081834 0.007939
1413393242.255760 0.002993 -0.081731 0.007514
1413393242.605761 0.001026 -0.082104 0.006078
1413393243.005760 0.001162 -0.080164 0.007635
1413393243.355761 0.001420 -0.080182 0.009370
1413393243.755760 0.000410 -0.079223 0.008546
1413393244.155761 0.000035 -0.078793 0.006706
