timestamp yaw pitch roll
1413393218.305760 83.215517 39.572504 111.494474
1413393218.305760 36.226261 40.173167 27.959202
1413393218.555760 26.924311 28.020330 2.180414
1413393218.805760 35.018418 19.693808 -1.555098
1413393219.055760 76.039487 2.547125 6.696932
1413393219.405761 84.993690 1.915260 2.990544
1413393219.905761 88.107851 1.541247 1.097362
1413393220.105761 88.885569 1.544387 0.251034
1413393220.355761 89.109979 1.465155 -0.002815
1413393220.605761 89.122947 1.397770 -0.109133
1413393220.855761 89.120311 1.444372 -0.021357
1413393221.155761 89.059495 1.431684 -0.024645
1413393221.455760 89.026927 1.520731 -0.040238
1413393221.705760 89.043401 1.511104 -0.092408
1413393222.005760 89.069606 1.396666 -0.128721
1413393222.305760 89.098775 1.388079 -0.094171
1413393222.655761 89.152835 1.278590 -0.122992
1413393222.955760 89.299365 1.260024 -0.180702
1413393223.255760 89.308487 1.284503 -0.158893
1413393223.605761 89.298569 1.265053 -0.118406
1413393223.955760 89.201227 1.313017 -0.089182
1413393224.305760 89.258339 1.289274 -0.144860
1413393224.655761 89.216778 1.258918 0.039019
1413393225.005760 89.098402 1.287341 -0.034763
1413393225.355761 89.192499 1.238562 -0.107125
1413393225.755760 88.997956 1.358391 0.065839
1413393226.155761 89.279346 1.477248 -0.082219
1413393226.555760 89.216607 1.528828 -0.100343
1413393227.155761 89.210896 1.512981 -0.053713
1413393227.555760 89.202252 1.489331 -0.074782
1413393227.955760 89.238251 1.461563 -0.067127
1413393228.405761 89.160186 1.438667 -0.016726
1413393228.855761 89.131755 1.457139 0.012201
1413393229.205760 89.111482 1.513042 0.020346
1413393229.655761 89.145717 1.601415 0.035634
1413393230.055760 89.173363 1.715596 0.043284
1413393230.555760 89.177860 1.712988 0.056346
1413393231.055760 89.360109 1.670448 0.111264
1413393231.555760 89.441558 1.806817 0.041287
1413393232.055760 89.403262 1.836136 0.065612
1413393232.505760 89.524525 1.825622 0.007016
1413393232.805760 89.532303 1.883866 0.020886
1413393233.105761 89.575364 1.957865 0.023864
1413393233.355761 89.567925 1.979428 0.027405
1413393233.605761 89.502085 1.979453 0.052028
1413393233.805760 89.596930 1.996763 0.060264
1413393234.055760 89.604335 1.923036 0.078180
1413393234.305760 89.580439 1.809319 0.089673
1413393234.555760 89.512389 1.526687 0.116054
1413393234.805760 89.512785 1.550218 0.090182
1413393235.005760 89.483219 1.420048 0.054329
1413393235.255760 89.458804 1.476339 0.100314
1413393235.505760 89.421813 1.451057 0.087257
1413393235.755760 89.391864 1.457701 0.086138
1413393235.955760 89.405276 1.529828 0.069823
1413393236.105761 89.394665 1.537341 0.071235
1413393236.305760 89.365307 1.546622 0.080765
1413393236.555760 89.338924 1.536839 0.072431
1413393236.805760 89.320755 1.492904 0.046789
1413393237.055760 89.302078 1.431101 0.057766
1413393237.305760 89.297652 1.468803 0.107399
1413393237.555760 89.305387 1.493878 0.114793
1413393237.805760 89.316174 1.530564 0.081447
1413393238.155761 89.297494 1.502329 0.085762
1413393238.405761 89.284732 1.473018 0.080184
1413393238.705760 89.281516 1.486786 0.088396
1413393239.005760 89.266791 1.476096 0.098333
1413393239.305760 89.256161 1.456412 0.116073
1413393239.605761 89.228449 1.425837 0.133179
1413393239.855761 89.223873 1.435070 0.143057
1413393240.155761 89.228820 1.491351 0.146010
1413393240.505760 89.238353 1.507596 0.148256
1413393240.855761 89.241181 1.513525 0.137513
1413393241.205760 89.244886 1.532807 0.137693
1413393241.555760 89.251752 1.554217 0.133868
1413393241.905761 89.255821 1.548092 0.137943
1413393242.255760 89.248986 1.535560 0.138428
1413393242.605761 89.264322 1.547126 0.144534
1413393243.005760 89.265970 1.550634 0.149291
1413393243.355761 89.244668 1.574268 0.155795
1413393243.755760 89.252714 1.570782 0.161410
1413393244.155761 89.257249 1.574222 0.161505
